query_number,image_name,rank,catalog_number,similarity_score,item_name,item_type,price,color,image_url,link
3,chair_extracted_grayscale.png,1,ID-CHA-010,0.908889771,Sloan · Petite Chair,chair,$820,"Blue, White, Dark, Black, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",Sloan_Petite_Chair.jpg,https://www.interiordefine.com/living/all-custom-chairs/sloan-petite-accent-chair
3,chair_extracted_grayscale.png,2,ID-CHA-031,0.908844,Caitlin · Leather Petite Chair by The Everygirl®,chair,$1595,"Green, Neutral, Brown, Blue, White, Dark, Cool, Mink, Warm, Black, Grey, Red, Saddle Brown",Caitlin_Leather_Petite_Chair_by_The_Everygirl.jpg,https://www.interiordefine.com/living/all-custom-chairs/caitlin-by-the-everygirl-leather-petite-accent-chair
3,chair_extracted_grayscale.png,3,ID-CHA-007,0.90284729,Sloan · Accent Chair,chair,$920,"Blue, White, Dark, Black, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",Sloan_Accent_Chair.jpg,https://www.interiordefine.com/living/all-custom-chairs/sloan-accent-chair
3,chair_extracted_grayscale.png,4,ID-CHA-018,0.902450621,Sloan · Leather Chair and a Half,chair,$2195,"Green, Neutral, Brown, Blue, White, Dark, Cool, Mink, Warm, Black, Grey, Red, Saddle Brown",Sloan_Leather_Chair_and_a_Half.jpg,https://www.interiordefine.com/living/all-custom-chairs/sloan-leather-chair-half
3,chair_extracted_grayscale.png,5,ID-CHA-016,0.899917603,Sloan · Chair and a Half,chair,$1220,"Blue, White, Dark, Black, Mink, Grey, Yellow, Saddle Brown, Cream, Rosy Brown, Neutral, Tan, Beige, Cool, Burlywood, Green, Brown, Light, Navy, Roy, Red, Warm, Gray",Sloan_Chair_and_a_Half.jpg,https://www.interiordefine.com/living/all-custom-chairs/sloan-chair-half
3,sofa_extracted_grayscale.png,1,ID-SOF-025,0.932037473,Sloan · Fabric 2-Seat Sofa,sofa,$1445,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Sloan_Fabric_2_Seat_Sofa.jpg,https://www.interiordefine.com/living/all-custom-sofas/sloan-custom-sofa
3,sofa_extracted_grayscale.png,2,ID-SOF-014,0.928146422,James · 2-Seat Sofa with Contrast Piping,sofa,$2495,"Tan, Black, Red, Mink, Beige, Grey, Blue, Saddle Brown, Rosy Brown, Green, Yellow, Roy, Cool, Navy, Warm, Brown, White, Neutral",James_2_Seat_Sofa_with_Contrast_Piping.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-2-seat-sofa-piping
3,sofa_extracted_grayscale.png,3,ID-SOF-026,0.927932799,Sloan · Slipcovered 2-Seat Sofa,sofa,$1645,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Sloan_Slipcovered_2_Seat_Sofa.jpg,https://www.interiordefine.com/living/all-custom-sofas/sloan-slipcovered-sofa
3,sofa_extracted_grayscale.png,4,ID-SOF-001,0.924606383,Maxwell · Fabric Sofa by Apartment Therapy,sofa,$2095,"Blue, Grey, Green, Cool, Rosy Brown, Tan, Cream, Burlywood, Light, Brown, White, Neutral, Beige, Saddle Brown, Roy, Navy, Warm, Black, Mink, Gray, Dark, Red, Yellow",Maxwell_Fabric_Sofa_by_Apartment_Therapy.jpg,https://www.interiordefine.com/living/all-custom-sofas/maxwell-custom-sofa
3,sofa_extracted_grayscale.png,5,ID-SOF-011,0.923660398,James · 3-Seat Sofa with Contrast Piping,sofa,$3095,"Tan, Black, Red, Mink, Beige, Grey, Blue, Saddle Brown, Rosy Brown, Green, Yellow, Roy, Cool, Navy, Warm, Brown, White, Neutral",James_3_Seat_Sofa_with_Contrast_Piping.jpg,https://www.interiordefine.com/living/all-custom-sofas/james-3-seat-sofa-piping
3,table_extracted_grayscale.png,1,ID-NIG-001,0.82698071,Leta · One Drawer Oak Nightstand,nightstand,$1035,Red,Leta_One_Drawer_Oak_Nightstand.jpg,https://www.interiordefine.com/bedroom/all-nightstands-dressers/leta-one-drawer-nightstand
3,table_extracted_grayscale.png,2,ID-TAB-008,0.82698071,Leta · One Drawer Oak Nightstand,table,$1035,Red,Leta_One_Drawer_Oak_Nightstand.jpg,https://www.interiordefine.com/living/all-tables/leta-one-drawer-nightstand
3,table_extracted_grayscale.png,3,ID-TAB-007,0.823227108,Houston · Side Table,table,$685,Red,Houston_Side_Table.jpg,https://www.interiordefine.com/living/all-tables/houston-side-table
3,table_extracted_grayscale.png,4,ID-TAB-002,0.808517575,Matteo · Square Dining Table,table,$1495,"White, Red, Black",Matteo_Square_Dining_Table.jpg,https://www.interiordefine.com/living/all-tables/matteo-custom-square-dining-table
3,table_extracted_grayscale.png,5,ID-TAB-036,0.803390622,Felix · Round Light Walnut Coffee Table,table,$2645,"White, Red",Felix_Round_Light_Walnut_Coffee_Table.jpeg,https://www.interiordefine.com/living/all-tables/felix-coffee-tables-light-walnut-round
